sex,Age,2011,2012,2013,2014
males,Total,2270506,2274915,2281717,2303744
females,0,35572,36227,36680,36043
females,1,35391,35612,36273,36771
females,2,35358,35485,35712,36419
females,3,35053,35430,35563,35836
females,4,32700,35152,35534,35711
females,5,31619,32724,35182,35608
females,6,31327,31668,32778,35279
females,7,31502,31370,31716,32869
females,8,31115,31541,31415,31803
females,9,30598,31143,31575,31491
females,10,29782,30624,31174,31648
females,11,29576,29779,30626,31219
females,12,29641,29563,29772,30662
females,13,29068,29636,29564,29816
females,14,28487,29074,29648,29618
females,15,27523,28491,29084,29701
females,16,27234,27547,28521,29162
females,17,26917,27066,27401,28527
females,18,27372,25202,25471,26572
females,19,28313,25691,23657,24810
females,20,29183,26953,24468,23344
females,21,28878,28065,25975,24437
females,22,29127,27793,27125,26028
females,23,30656,28048,26865,27232
females,24,32101,29603,27145,26984
females,25,34012,32087,29670,27804
females,26,35343,33787,31938,30069
females,27,37554,34949,33467,32137
females,28,40007,37130,34595,33594
females,29,40848,39485,36674,34581
females,30,41934,40350,39048,36642
females,31,41108,41379,39851,38922
females,32,39986,40636,40958,39774
females,33,38229,39517,40213,40844
females,34,37257,37824,39153,40118
females,35,36942,36946,37548,39113
females,36,36795,36648,36683,37489
females,37,36119,36501,36380,36587
females,38,36115,35882,36286,36316
females,39,35191,35923,35710,36242
females,40,34789,35039,35786,35685
females,41,33870,34631,34896,35745
females,42,31751,33752,34525,34877
females,43,31722,31655,33665,34514
females,44,31275,31632,31574,33645
females,45,31238,31261,31623,31606
females,46,31716,31214,31242,31639
females,47,30823,31671,31175,31238
females,48,29944,30768,31620,31159
females,49,29134,29887,30713,31598
females,50,29193,29071,29827,30686
females,51,28140,29120,29002,29790
females,52,26919,28053,29034,28950
females,53,26831,26830,27967,28977
females,54,25992,26721,26725,27891
females,55,25307,25891,26623,26658
females,56,25209,25194,25782,26542
females,57,24042,25093,25082,25698
females,58,24204,23918,24969,24987
females,59,22818,24084,23803,24879
females,60,22321,22700,23964,23712
females,61,22315,22185,22566,23852
females,62,21773,22182,22057,22462
females,63,21270,21615,22026,21928
females,64,20265,21097,21443,21878
females,65,19698,20093,20923,21294
females,66,18183,19515,19910,20761
females,67,17249,18000,19323,19742
females,68,16487,17053,17799,19137
females,69,14843,16297,16860,17624
females,70,14195,14627,16066,16649
females,71,14148,13974,14403,15849
females,72,13581,13906,13738,14187
females,73,12770,13324,13647,13507
females,74,12499,12487,13033,13376
females,75,12195,12201,12192,12752
females,76,11639,11873,11882,11898
females,77,11125,11292,11522,11556
females,78,10276,10758,10922,11171
females,79,9787,9892,10360,10542
females,80,9536,9392,9495,9968
females,81,8902,9094,8959,9080
females,82,8261,8438,8623,8517
females,83,7577,7775,7944,8141
females,84,7213,7071,7258,7439
females,85,6475,6670,6541,6737
females,86,5976,5936,6117,6020
females,87,5313,5420,5385,5570
females,88,4635,4766,4863,4851
females,89,3826,4106,4223,4327
females,90,3304,3343,3590,3710
females,91,2725,2845,2880,3108
females,92,1994,2309,2412,2454
females,93,1449,1661,1924,2020
females,94,1219,1184,1358,1579
females,95,892,975,947,1091
females,96,632,696,760,742
females,97,519,479,528,579
females,98,317,383,353,390
females,99+,548,591,667,698
females,Total,2304382,2312221,2322194,2345484
